example_id                                           | status  | run_time        |
./spec/requests/panda_cms/pages_spec.rb[1:2:1]       | failed  | 0.00106 seconds |
./spec/requests/panda_cms/pages_spec.rb[1:2:2]       | failed  | 0.0013 seconds  |
./spec/requests/panda_cms/pages_spec.rb[1:2:3]       | failed  | 0.00174 seconds |
./spec/requests/panda_cms/pages_spec.rb[1:3:1]       | failed  | 0.00836 seconds |
./spec/requests/panda_cms/pages_spec.rb[1:4:1]       | pending | 0 seconds       |
./spec/requests/panda_cms/pages_spec.rb[1:5:1]       | pending | 0 seconds       |
./spec/requests/panda_cms/pages_spec.rb[1:6:1]       | pending | 0.00001 seconds |
./spec/system/admin/pages/edit_page_spec.rb[1:1]     | failed  | 0.00452 seconds |
./spec/system/admin/pages/edit_page_spec.rb[1:2]     | failed  | 0.89925 seconds |
./spec/system/admin/pages/edit_page_spec.rb[1:3]     | failed  | 0.00552 seconds |
./spec/system/admin/pages/list_pages_spec.rb[1:1]    | passed  | 5.18 seconds    |
./spec/system/website_spec.rb[1:1]                   | failed  | 14.64 seconds   |
